Title,ALogP,ALogp2,AMR,BCUTw-1l,BCUTw-1h,BCUTc-1l,BCUTc-1h,BCUTp-1l,BCUTp-1h,PPSA-1,PPSA-2,PPSA-3,PNSA-1,PNSA-2,PNSA-3,DPSA-1,DPSA-2,DPSA-3,FPSA-1,FPSA-2,FPSA-3,FNSA-1,FNSA-2,FNSA-3,WPSA-1,WPSA-2,WPSA-3,WNSA-1,WNSA-2,WNSA-3,RPCG,RNCG,RPCS,RNCS,THSA,TPSA,RHSA,RPSA,fragC,Wlambda1.unity,Wlambda2.unity,Wlambda3.unity,Wnu1.unity,Wnu2.unity,Wgamma1.unity,Wgamma2.unity,Wgamma3.unity,Weta1.unity,Weta2.unity,Weta3.unity,WT.unity,WA.unity,WV.unity,WK.unity,WG.unity,WD.unity,nAcid,apol,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,nBase,nB,bpol,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH-3,SCH-4,SCH-5,SCH-6,SCH-7,VCH-3,VCH-4,VCH-5,VCH-6,VCH-7,SC-3,SC-4,SC-5,SC-6,VC-3,VC-4,VC-5,VC-6,SP-0,SP-1,SP-2,SP-3,SP-4,SP-5,SP-6,SP-7,VP-0,VP-1,VP-2,VP-3,VP-4,VP-5,VP-6,VP-7,SPC-4,SPC-5,SPC-6,VPC-4,VPC-5,VPC-6,ECCEN,FMF,tpsaEfficiency,GRAV-1,GRAV-2,GRAV-3,GRAVH-1,GRAVH-2,GRAVH-3,GRAV-4,GRAV-5,GRAV-6,nHBDon,nHBAcc,HybRatio,khs.sLi,khs.ssBe,khs.ssssBe,khs.ssBH,khs.sssB,khs.ssssB,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.ddC,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH3,khs.sNH2,khs.ssNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.sssNH,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.ssssN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.sSiH3,khs.ssSiH2,khs.sssSiH,khs.ssssSi,khs.sPH2,khs.ssPH,khs.sssP,khs.dsssP,khs.sssssP,khs.sSH,khs.dS,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sGeH3,khs.ssGeH2,khs.sssGeH,khs.ssssGe,khs.sAsH2,khs.ssAsH,khs.sssAs,khs.sssdAs,khs.sssssAs,khs.sSeH,khs.dSe,khs.ssSe,khs.aaSe,khs.dssSe,khs.ddssSe,khs.sBr,khs.sSnH3,khs.ssSnH2,khs.sssSnH,khs.ssssSn,khs.sI,khs.sPbH3,khs.ssPbH2,khs.sssPbH,khs.ssssPb,Kier1,Kier2,Kier3,nAtomLC,nAtomP,LOBMAX,LOBMIN,LipinskiFailures,nAtomLAC,MLogP,MDEC-11,MDEC-12,MDEC-13,MDEC-14,MDEC-22,MDEC-23,MDEC-24,MDEC-33,MDEC-34,MDEC-44,MDEO-11,MDEO-12,MDEO-22,MDEN-11,MDEN-12,MDEN-13,MDEN-22,MDEN-23,MDEN-33,MOMI-X,MOMI-Y,MOMI-Z,MOMI-XY,MOMI-XZ,MOMI-YZ,MOMI-R,PetitjeanNumber,topoShape,geomShape,nRotB,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings4,nRings5,nRings6,nRings7,nRings8,nRings9,TopoPSA,VAdjMat,VABC,MW,WTPT-1,WTPT-2,WTPT-3,WTPT-4,WTPT-5,WPATH,WPOL,XLogP,Zagreb
Mol1,0.2908,0.08456464,75.7828,11.99434382,19.00041249,-0.326878837,0.204395682,3.983285181,9.371560386,356.2409644,656.2025263,23.08312358,193.3130279,-356.0862168,-42.27628738,162.9279365,1012.288743,65.35941096,0.648236514,1.194063796,0.042003377,0.351763486,-0.647954927,-0.07692836,195.7736442,360.6187181,12.68542272,106.2359463,-195.6886021,-23.23310251,0.110881118,0.177370185,0.502136877,3.249317518,369.6380899,179.9159024,0.672614693,0.327385307,1387.07,1.731253241,3.094936014,8.146880453,0.133449776,0.238566206,NA,NA,NA,0.521977194,0.495779226,0.517084542,12.97306971,44.67650491,101.3015214,0.220988014,NA,1.534840962,0,45.50886,6,6,42,0.503317244,-0.191164022,-0.026282783,-0.039635751,-0.016792799,28.36054236,26.07453891,36.53953778,41.76170582,32.98541526,1198.917514,1349.359125,1741.835341,1854.100801,1392.827452,2,23,28.41114,0,0,1,5,1,4,4,0,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.038354171,1.56481751,0,0.402368927,0,0.608745278,0,0.066451393,0,16.1125197,10.46923425,9.468839436,7.378086953,5.602040027,4.260501284,2.726167847,1.453271877,12.24850385,7.3458772,5.510394473,3.701021576,2.523350367,1.682592281,1.010405649,0.462891392,3.346256852,4.368298934,6.251828779,1.041631904,1.263139529,1.404049397,430,0.404761905,0.185178224,1858.699041,43.11263204,12.29522154,2069.130168,45.48769249,12.74273361,4195.561079,64.77315091,16.12860042,2,4,0.533333333,0,0,0,0,0,0,0,0,7,0,0,2,1,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34026465,8.740894901,5.551497443,5,6,NA,NA,0,4,2.34,0,0,0,0,9.106134348,13.81083818,0,5.23244964,0,0,0,0,0,0,0.142857143,0.25,0,0.333333333,0,3765.417609,3407.865327,1167.606818,1.104919722,3.224902038,2.918675425,7.011149805,0.5,1,0.719172243,5,2,1,2,1,0,0,0,1,1,0,0,58.36,5.523561956,281.8206598,315.1558469,43.83938973,1.992699533,19.04517106,2.547340175,8.940355009,1161,34,1.056,108
Mol2,1.7599,3.09724801,106.0192,11.85,19.00041652,-0.32685098,0.233855724,3.984014842,9.866475572,482.3439372,1119.615858,30.84401982,304.5341536,-706.8841158,-56.2185211,177.8097836,1826.499974,87.06254092,0.612984327,1.42285809,0.039197965,0.387015673,-0.898340066,-0.07144502,379.5458764,881.0011885,24.27048343,239.6312534,-556.2316235,-44.23712255,0.100663844,0.14075455,1.991251816,4.31553179,548.7005918,238.177499,0.697313343,0.302686657,2266.08,1.632450911,3.234747461,19.50753789,0.06697307,0.132709024,NA,NA,NA,0.3414734,0.38921856,0.514916893,24.37473626,100.2276231,227.6132092,0.35023843,NA,1.245608853,0,61.298032,12,12,54,0.63380871,-0.292531048,0.052615743,-0.054547061,-0.078815796,37.13501139,35.57281282,50.59127328,58.42243759,49.81232897,1809.496965,2073.537055,2753.917027,3005.285969,2465.048676,1,32,35.061968,0,0,2,10,2,4,4,0,0,0,0,0,0.157617628,0.264875942,0,0,0,0.052908348,0.054391678,2.090600933,0,0.594819017,0,0.849525557,0,0.104487682,0,21.67299763,14.34624435,13.00281604,10.67330525,8.220786367,6.300884331,4.023864692,2.632754188,16.49071708,9.859640496,7.418620601,5.16478951,3.561468128,2.406581252,1.435569624,0.801591826,4.88777585,6.623250965,9.170992778,1.586058918,1.983244518,2.215958435,830,0.444444444,0.158976269,2570.999804,50.70502741,13.6993727,2818.866139,53.09299519,14.12618266,5870.130254,76.61677528,18.03914347,1,5,0.363636364,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63867188,11.74380165,6.99768595,5,9,NA,NA,0,4,3,0,0,0,0,18.35869531,21.7549442,0,6.168480171,0,0,0.142857143,0,0,0,0,0.377964473,0,0,0.333333333,10402.80775,10084.52767,1555.911399,1.031561228,6.685989803,6.48142798,9.051427002,0.470588235,0.888888889,0.901511799,7,3,2,3,2,0,0,0,2,1,0,0,66.64,6,377.8804853,419.1820617,60.42265821,2.014088607,22.10971478,5.134917986,9.417215161,2841,49,2.801,152
Mol3,0.0863,0.00744769,85.3487,11.98845125,19.0004144,-0.360020237,0.278314279,3.98378305,9.619386005,512.5827482,1050.401429,33.75079858,225.4146561,-461.9271284,-49.66023249,287.1680921,1512.328557,83.41103106,0.694559012,1.423313175,0.04573295,0.305440988,-0.62591972,-0.067290525,378.2847377,775.1935282,24.90800175,166.3554311,-340.9010217,-36.64912268,0.099524641,0.15948381,0.090767557,2.978015877,528.8102524,209.187152,0.716547578,0.283452422,1704.08,1.387327485,1.858685925,17.49564635,0.06688604,0.089611244,NA,NA,NA,0.417881518,0.344828819,0.521747324,20.74165976,59.36970875,125.2257484,0.382627037,NA,1.284457661,0,51.164446,6,6,47,0.633625786,-0.276564761,0.026937906,-0.046342259,-0.07302609,32.13501139,29.57281282,42.59127328,48.42588977,39.81578115,1400.606086,1587.81976,2090.757332,2275.981446,1763.861294,1,26,32.875554,0,0,2,5,1,5,4,0,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.038354171,2.06481751,0,0.569035594,0,0.81183577,0,0.11209494,0,18.56011345,11.7737647,10.98962612,8.479144285,6.316819216,4.696208389,3.16442509,1.991983708,14.10396574,8.198956893,6.266460669,4.302163749,2.909967508,1.906278519,1.193919567,0.645486513,4.386696966,5.392452885,7.212351124,1.486292177,1.720075833,1.784472026,559,0.361702128,0.186579695,2130.892819,46.16159464,12.86828098,2358.191196,48.56121081,13.31045816,4762.802193,69.01305813,16.82496547,1,5,0.529411765,0,0,0,0,0,0,1,0,7,0,0,2,1,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.30177515,9.796296296,6.282314765,5,6,NA,NA,0,4,2.45,0,1.58933361,0.999976237,0,9.106134348,15.79115597,0,5.345015106,0,0,0.142857143,0,0,0,0,0.377964473,0,0,0.333333333,7344.171477,6951.579381,981.4970728,1.056475237,7.482621885,7.082628745,8.053855075,0.5,1,0.9692989,6,2,1,2,1,0,0,0,1,1,0,0,66.64,5.700439718,322.566397,357.1664116,49.54069565,1.981627826,21.83721968,4.969080733,9.310597622,1683,40,1.084,124
Mol4,1.528,2.334784,111.7861,11.99664019,19.00041898,-0.335854505,0.233992054,3.984031164,9.937787785,498.9145949,1377.125991,34.73664169,324.9392315,-896.9115472,-68.81902866,173.9753634,2274.037538,103.5556704,0.605586305,1.671565934,0.042163598,0.394413695,-1.088678014,-0.083533057,411.032698,1134.550517,28.61791517,267.7024292,-738.9240101,-56.69682009,0.08468534,0.11836606,1.675177807,3.503599075,537.250501,286.6033254,0.652118718,0.347881282,2544.1,1.648975684,3.630956477,22.63150288,0.059078857,0.130088491,NA,NA,NA,0.324092763,0.428308784,0.505730611,27.91143505,125.4801589,288.894525,0.358124489,NA,1.258132158,0,64.662032,12,12,57,0.935106051,-0.522031526,0.147135424,-0.043622317,-0.187373314,41.68394946,40.90118073,59.69411023,65.7508055,55.8086049,1986.580137,2315.740449,3168.635452,3385.473881,2801.656261,1,36,38.893968,0,0,2,10,2,4,4,0,0,0,0,0.11785113,0.290263604,0.507422784,0,0,0.029462783,0.078910285,0.098171184,2.423934266,0,0.67815235,0,0.967376687,0,0.118376571,0,23.53480495,15.81257084,14.6289211,12.35371907,9.777224261,7.403095367,5.182579921,3.549220041,17.85961991,10.67258932,8.120635704,5.763569828,4.010308509,2.670494426,1.659290285,0.947763882,5.787332721,8.044964975,10.83641874,1.842583773,2.321352535,2.533279293,1000,0.473684211,0.183733084,2968.110266,54.48036588,14.37121027,3215.767766,56.70773992,14.76029008,6789.97237,82.40128864,18.93604756,1,5,0.391304348,0,0,0,0,0,0,0,0,8,0,0,5,1,0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.07407407,11.82314494,6.611570248,5,11,NA,NA,0,4,2.89,0,0,0,0,15.01279291,25.70081098,0,8.185671017,0,0,0.142857143,0.527753967,0.5,0,0,0.377964473,0,0,0.333333333,13732.78341,13179.73623,1985.595642,1.041961931,6.916203439,6.637673828,9.82143208,0.5,1,0.905620858,7,4,2,3,2,0,0,1,2,1,0,0,85.1,6.169925001,400.4004647,463.1718909,67.17480272,2.035600082,28.27768641,11.29390626,9.42619511,3706,55,2.29,174
Mol5,0.6093,0.37124649,103.8623,11.85,19.00041669,-0.326858489,0.235369291,3.984004465,9.824791131,496.3859728,1186.272309,33.34881851,280.8060479,-671.0754473,-59.7983124,215.5799249,1857.347756,93.14713091,0.638691545,1.526356778,0.042909368,0.361308455,-0.863461576,-0.07694149,385.7872172,921.9613726,25.91843565,218.2402198,-521.5544829,-46.47477125,0.098406503,0.136712985,1.965167405,4.554005179,516.4187638,260.7732569,0.664467403,0.335532597,2155.09,1.408110779,3.563359229,18.76413187,0.05932484,0.150127191,NA,NA,NA,0.327923956,0.418359877,0.529786706,23.73560188,98.30292338,216.1895185,0.342910977,NA,1.276070539,0,59.971239,12,12,53,0.716517297,-0.328023493,0.058745252,-0.14662035,0.07440348,37.49499169,35.90517669,50.92363715,58.75480146,50.22749696,1777.708797,2038.478859,2709.873192,2963.174659,2429.984196,1,32,35.288761,0,0,4,7,2,4,4,0,0,0,0,0,0.157617628,0.264875942,0,0,0,0.045678533,0.050776771,2.090600933,0,0.594819017,0,0.849525557,0,0.104487682,0,21.67299763,14.34624435,13.00281604,10.67330525,8.220786367,6.300884331,4.023864692,2.632754188,16.36058041,9.709371609,7.294295597,5.052537378,3.470005483,2.329522908,1.402368276,0.777788911,4.88777585,6.623250965,9.170992778,1.575214195,1.958015461,2.176273795,830,0.452830189,0.189277236,2610.584877,51.09388297,13.76932358,2848.335086,53.36979564,14.17523802,5967.694603,77.25085503,18.13853455,1,6,0.380952381,0,0,0,0,0,0,0,0,7,0,0,6,1,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63867188,11.74380165,6.99768595,5,9,NA,NA,0,4,2.78,0,0,0,0,15.64136178,20.8846953,0,6.168480171,0,0,0.142857143,0,0,0,0.090909091,0.377964473,0,0.377964473,0.333333333,10803.56389,10121.64512,1505.852929,1.067372326,7.174381827,6.721536292,9.05392831,0.470588235,0.888888889,0.927429137,7,3,2,3,2,0,0,0,2,1,0,0,79.53,6,371.5812609,420.1773106,60.42265821,2.014088607,25.11543559,5.134917986,12.42293597,2841,49,1.549,152
Mol6,2.313,5.349969,111.5849,11.85,19.00041796,-0.326872427,0.340485009,3.98385877,9.658815109,554.6852276,1444.859282,34.78699694,329.0857411,-857.2115572,-59.44374202,225.5994865,2302.07084,94.23073896,0.627634588,1.634879775,0.039362005,0.372365412,-0.969947631,-0.067261479,490.2147009,1276.924688,30.74373798,290.8364242,-757.5786883,-52.53465347,0.130673582,0.125428349,0.542455046,5.349157888,647.0184683,236.7525004,0.732111023,0.267888977,2608.09,1.854155736,2.698711335,28.20600031,0.056600117,0.082381094,NA,NA,NA,0.404184346,0.397986104,0.513280386,32.75886738,133.4220011,307.31893,0.395764091,NA,1.315450836,0,65.193618,12,12,58,0.782792739,-0.483886889,0.271498767,-0.17110378,-0.103313572,39.90948043,38.23699678,53.75302198,60.25253159,50.64242297,1828.534454,2073.504233,2705.858432,2893.903587,2341.034521,1,34,39.164382,0,0,1,10,2,5,4,0,0,0,0,0,0.157617628,0.27811916,0,0,0,0.052908348,0.061034631,2.171310582,0,0.520220057,0,0.875667607,0,0.085085293,0,23.08721119,15.3294076,13.80427919,11.09607473,8.429299177,6.495328776,4.173426724,2.725587408,17.60607215,10.45599317,7.787623846,5.320170828,3.588241489,2.386076201,1.405889772,0.761210549,4.799489611,6.234690554,8.40671631,1.554285107,1.852674144,1.967407037,979,0.448275862,0.16890304,2769.676949,52.62772034,14.04353278,3037.174023,55.11056181,14.48182268,6248.716734,79.048825,18.41889672,1,6,0.391304348,0,0,0,0,0,0,0,0,8,0,0,7,1,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.60207612,13.1852552,8.322704082,5,6,NA,NA,0,4,3,0,0,0,0,19.09309223,21.00667313,0,5.690958738,0,0,0.142857143,0.534522484,0,0,0,0.377964473,0,0,0.333333333,14735.6709,14633.99043,1578.37171,1.006948239,9.335995317,9.2715742,9.883116556,0.473684211,0.9,0.932750649,9,3,2,3,2,0,0,0,2,1,0,0,75.87,6.087462841,403.9666967,449.1926264,64.42243796,2.013201186,25.10761604,8.145287505,9.404751614,3556,50,2.965,160
Mol7,1.8898,3.57134404,107.8246,11.85,19.00041713,-0.32685348,0.279212289,3.983954799,9.707562535,498.6490649,1245.46168,32.32752057,330.3057426,-824.9953206,-59.28823429,168.3433223,2070.457001,91.61575486,0.601539505,1.502448226,0.038997929,0.398460495,-0.995223519,-0.071521673,413.3575396,1032.431447,26.79805359,273.8085333,-683.8838371,-49.14726684,0.111735768,0.130809504,1.345838719,5.046981843,586.8625322,242.0922753,0.707954797,0.292045203,2434.09,1.298387032,2.081018602,28.3313489,0.040944691,0.065625011,NA,NA,NA,0.300801914,0.521764226,0.505959454,31.71075454,98.44508769,206.7062281,0.420072724,NA,1.328525594,0,63.064825,12,12,56,0.669829207,-0.366817503,0.152936489,-0.092092573,-0.107865584,38.49499169,36.90517669,52.33880514,58.58889142,50.31087477,1838.597438,2094.349871,2754.287933,2962.085914,2432.939143,1,33,36.815175,0,0,1,11,1,4,4,0,0,0,0,0,0.157617628,0.27811916,0,0,0,0.052908348,0.054391678,2.171310582,0,0.520220057,0,0.849525557,0,0.089273167,0,22.38010441,14.8294076,13.46263118,10.77093633,8.360263583,6.396703491,4.105672347,2.667740661,16.99071708,10.1096405,7.543620601,5.169109238,3.522182524,2.356345499,1.396594035,0.766386108,4.742419271,6.337473176,8.674784371,1.52655424,1.849043471,2.005789123,902,0.446428571,0.181186724,2682.50384,51.79289372,13.89462353,2944.182403,54.2603207,14.33248747,6061.003182,77.85244493,18.2325818,2,6,0.363636364,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.61983471,12.45925926,7.775206612,5,10,NA,NA,0,4,2.89,0,0,0,0,17.19661137,20.66077863,0,5.888306537,0,0,0.142857143,0,0,0,0.111111111,0.377964473,0,0.632455532,0.333333333,14363.05495,14093.9102,1001.528693,1.019096528,14.34113176,14.07239783,9.220804107,0.5,1,0.957678537,8,3,2,3,2,0,0,0,2,1,0,0,78.67,6.044394119,388.8772455,434.1929607,62.42251137,2.013629399,25.14527504,5.121993781,12.46570277,3183,49,2.29,156
Mol8,0.2454,0.06022116,109.8689,11.9,19.00041729,-0.326882938,0.277638297,3.984009977,9.847650188,568.3946471,1453.950227,32.87370443,263.1520889,-673.1415246,-55.51155633,305.2425582,2127.091751,88.38526076,0.683539027,1.748488887,0.039533201,0.316460973,-0.809505342,-0.066756989,472.6467135,1209.027565,27.33602161,218.8232606,-559.7486376,-46.16045347,0.108484302,0.127724761,2.019717524,4.905393358,583.6786917,247.8680443,0.701919287,0.298080713,3039.1,1.694884353,3.657802322,20.78236142,0.064851013,0.139957742,NA,NA,NA,0.365178565,0.401736333,0.527216948,26.1350481,117.441021,272.4173977,0.346393433,NA,1.294131846,0,65.73879,6,6,61,0.801389282,-0.471906092,0.175400885,-0.040592224,-0.25981104,38.85497199,37.56990442,53.671169,61.11478176,51.4770567,1892.860312,2170.025002,2904.016877,3151.517006,2564.100121,2,33,45.58121,0,0,1,5,1,8,4,0,0,0,0,0,0.138888889,0.337396232,0,0,0,0.070833333,0.113354171,2.379276067,0,0.594819017,0,1.096783703,0,0.107276222,0,22.54324112,14.7400912,13.62467785,11.08398886,8.372482654,6.51785652,4.388909697,2.705833812,17.82682005,10.63468835,8.320340903,5.901154066,3.984097313,2.815458532,1.681916814,0.906371523,5.29602414,6.972706889,9.660026287,1.980844582,2.361203741,2.716461017,896,0.393442623,0.165716622,2662.212427,51.59663194,13.85950019,2969.509865,54.49320935,14.37346881,6171.228733,78.55716856,18.34244454,1,7,0.619047619,0,0,0,0,0,0,1,0,11,0,0,2,1,0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.61983471,11.92344045,7.239150508,5,6,NA,NA,0,4,2.67,0,2.009019948,0.587054091,0,15.78974846,17.74290368,0,5.345015106,0,0,0.142857143,0,0,0,0,0.539404474,0,0,1.532618865,11383.083,10948.08055,1811.749755,1.039733216,6.282922335,6.0428216,9.312526583,0.5,1,0.826654155,7,3,1,3,1,0,0,0,2,1,0,0,73.12,6.044394119,401.3873972,441.2351599,62.28052941,2.009049336,28.72788339,5.136427561,16.03387382,3135,51,0.509,158
Mol9,1.5358,2.35868164,107.8394,11.85,31.97207264,-0.326845345,0.243527182,3.984591315,12.22445973,471.5530573,1131.242894,35.93987742,262.5810553,-629.9247739,-49.46060476,208.972002,1761.167668,85.40048218,0.642325495,1.540921304,0.048955466,0.357674505,-0.85805136,-0.06737271,346.1831853,830.4839983,26.38469002,192.76971,-462.4492649,-36.31071719,0.101438404,0.136191298,3.416229729,2.539067335,490.5591693,243.5749434,0.66821465,0.33178535,2319.1,1.597397591,5.652308935,10.24639055,0.091300224,0.323061132,NA,NA,NA,0.446639721,0.553950926,0.561018794,17.49609708,83.31230914,193.3229095,0.189228982,NA,1.561609441,0,63.240032,12,12,55,0.642247,-0.300424534,0.090752324,-0.088640187,-0.080333697,45.03723347,44.97057829,61.93043671,70.42994632,60.42754062,2201.89655,2550.774801,3517.087652,3869.028334,3162.065344,1,33,40.579968,0,0,1,11,1,4,4,0,0,0,0,0,0.157617628,0.256981413,0,0,0,0.052908348,0.057983761,2.764176247,0.166666667,1.024377395,0.166666667,1.055936565,0.022807523,0.199369963,0.019006269,22.59564736,14.67957768,13.83875403,11.20124644,8.545427662,6.474424216,4.136812722,2.765596007,17.01095543,10.26128265,7.961108814,5.6741077,3.925257333,2.650249165,1.616873237,0.945097801,6.257827701,8.442765691,11.34423815,2.072422372,2.595104953,2.90095676,857,0.436363636,0.202329326,3065.648177,55.36829577,14.52693871,3313.40403,57.56217534,14.90818587,7167.958702,84.66379806,19.28110108,1,6,0.380952381,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.61983471,11.42145767,6.756679115,5,10,NA,NA,0,4,2.67,0,0,0,0,18.35869531,18.19426768,0,5.173829087,0,0,0.650697637,0,0,0,0,0.377964473,0,0,0.333333333,7471.97858,5704.378004,2747.395715,1.309867364,2.719658672,2.076285543,8.218715264,0.470588235,0.888888889,0.650836451,7,3,2,3,2,0,0,0,2,1,0,0,92.09,6.044394119,390.5202102,455.1490473,62.17531733,2.005655398,28.01765348,7.559217086,9.39446074,3045,53,2.342,160
Mol10,-0.123,0.015129,89.3211,11.999,31.97483207,-0.326836353,0.298234307,3.984360381,11.27511345,437.3009598,938.6906202,28.8624135,263.0766252,-564.7084803,-54.88307144,174.2243346,1503.3991,83.74548494,0.624378862,1.340263652,0.04120979,0.375621138,-0.806291481,-0.078362119,306.2757902,657.4378696,20.21458747,184.2529714,-395.5091617,-38.43887304,0.098562982,0.152206294,1.836399735,2.8152269,434.1105089,266.2670762,0.619823533,0.380176467,1751.1,1.391559345,2.423432657,15.47511595,0.072138494,0.12563085,NA,NA,NA,0.427207909,0.473880794,0.539811804,19.29010795,62.40979393,133.8874147,0.351672992,NA,1.440900508,0,53.106446,6,6,48,0.654195772,-0.283186116,0.04717308,-0.066526269,-0.075629924,40.03723347,38.97057829,50.5908663,54.42964414,46.09702364,1679.260702,1903.106864,2583.672865,2733.401037,2116.372794,1,27,38.393554,0,0,1,5,1,4,4,0,0,0,0,0,0.055555556,0.205950377,0,0,0,0.020833333,0.038354171,3.075180481,0.288675135,0.835381629,0.144337567,1.11667098,0.045615046,0.200992503,0.022807523,19.48276318,12.07440597,12.04847836,8.716421916,6.487497184,4.79856759,3.248178626,2.108610421,14.62420409,8.65659408,6.917114953,4.610006825,3.121137257,2.032911079,1.293337938,0.738000508,5.20813857,6.442916245,8.272581958,1.864278604,2.124220809,2.166378765,586,0.354166667,0.234246189,2620.736003,51.19312457,13.7871476,2847.959499,53.36627679,14.17461493,5615.341298,74.93558099,17.77428144,1,6,0.5625,0,0,0,0,0,0,1,0,7,0,0,2,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.29080933,9.467455621,6.542222222,5,6,NA,NA,0,4,2.12,0,1.58933361,0.61971427,0,9.106134348,13.81083818,0,5.23244964,0,0,0.650697637,0,0,0,0,0.377964473,0,0,0.333333333,8601.354315,8143.296686,1072.610744,1.056249655,8.019082754,7.59203349,8.21267812,0.5,1,0.930582254,6,2,1,2,1,0,0,0,1,1,0,0,92.09,5.754887502,335.2061218,393.1333972,51.31176865,1.973529563,27.44525975,7.312165014,9.314497586,1868,42,0.889,132
